Commit,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWE IDs
4869315d102e2e92f50582ebc3aebdb82266f5b3,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
4a0c05749c72662bb82cdb01d9a0ef1ff6416b6a,3046,142,5,141,225,2827,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
4d31277bc67169460dc2d8bca80946df8b355b8f,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
4e0a3087e4f4f2bc118d0f09b71e7440e78c42d7,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
59fcb9b93c4971602b4a4afd4afdf08db7a7f2b7,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
5a0690c89d718b33bd63c1cd724c50c9ceb809e9,6529,159,5,143,225,6325,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
5a605969bdc102e0193ad15ccc571dc6164e5d26,4672,142,5,143,225,4451,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
5d3aa80ad1f1dcd67a185158c6a7ceb53855eefd,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
6ae5b9267145e5b01d282f766fa90d129eb40390,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
76a8badd24cea6509df24e070f7fc06f47ee9ac3,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
783b98dedaea65e0c6658d9d588328dd887c2c8a,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
7bbe775040d5d695bc3b48a73de5d6fa99312b4c,6531,159,5,143,225,6327,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
7d5b189c1147e8aad632d4ef6759cc391d2017ac,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
7dd92e6e4341dc6d5ba70a20d7e89edb3a87fba9,3042,142,5,141,225,2823,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
7dfbecd3924a0d7a9e555e9cc3618cdb06b5415d,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
7e61ff352439d3e5c85785fc26b5503e4fed67b8,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
803b4f258d85ab4f85c7c230e6c025f54e836269,6529,159,5,143,225,6325,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
838ff99f37d88214829018c6a7dd2a84fdb418b4,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
872924721344502cca92a72ce68d5f78a9b9e5bc,6533,159,5,143,225,6329,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
87db3f2fd6f9d365208a69a0de31181f1ea70e43,3056,142,5,141,225,2837,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
897e124a27772b9a710f501954f50e3c66e27c79,3043,142,5,141,225,2824,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
8c34e6d9a4994abda0059f76dbbdb64c2e8a9751,3054,142,5,141,225,2835,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
8d92c28a16c78a1ca7531679488fbd979f308661,3056,142,5,141,225,2837,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
9057bf4e1e08dccac4fa6d9f0f191d1f4708a43a,6533,159,5,143,225,6329,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
93644f2c30ee74a68584c9e4cdfd0827c2187d34,3043,142,5,141,225,2824,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
93c076047bf5e3169feb2c29aca24e71bab0f8f0,3059,142,5,143,225,2838,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
98a57e241879e1b56ef8bffeb8f85f868e91c1e9,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
98ba61256deceba7b04b938a97005258f4ef5c66,3050,142,5,141,225,2831,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
9b7db1a068895254aae1618fb684baf9cb0c2784,6531,159,5,143,225,6327,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
9bc0029d27d8ed719e2cc2e9077a81450b995b96,3050,142,5,141,225,2831,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
9d35428770326a3e833a2720c4f641fa70b58d29,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
a195af304d2823cc686fd7354790e52239208d82,3046,142,5,141,225,2827,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
a5731c1944d8aa7b1921c543b7ad616ad131853e,3059,142,5,143,225,2838,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
a898331d14f889c1d4860cf1a364ba28285090a4,3054,142,5,141,225,2835,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
b10d46d280fbc84f7a1c50e116a1ed828aa286c9,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
b70443f2d06b1b0ad8c474fc5e8a424e363bdd81,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
ba28d96d3ef2488e9c5c86d4a5c28a1aac269a2d,6529,159,5,143,225,6325,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
ba5df629a2004ca0d919d8b7f0a7f5725448e50a,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
bc1aeeefc970fbd123699e0cb6d8486141bf8418,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
bee74fb753afa373ecdb1dbf272af9a108b14b22,6531,159,5,143,225,6327,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
c003fc0841367227aff3c2c1192fe60abbd1a458,3043,142,5,141,225,2824,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
c03fb2abb8c354c56c4e8363fc602d49f956c280,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
c200458f24a2e55dece5df5c22f39a0d1b4ff341,3054,142,5,141,225,2835,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
c2832ed1316b25813870a3ef8ebc15473a35d82f,3043,142,5,141,225,2824,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
c5ed0fd45cfcee15cf59eb92f40c12ca29ecc890,3046,142,5,141,225,2827,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
c87354cd46afdba35ca104a62b0c2bbfa6bd6f64,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
ca345a3b73904ffd6d2e8ffb17c45ebb69639d26,3050,142,5,141,225,2831,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
cc484efd43b0f8ba0dc89904a7d38086775c44ae,3046,142,5,141,225,2827,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
cec0aeca58730b592bec50299414d4bf30fc9ec0,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
d0dabbc09706b082e2250790cd7a00c033ad8021,6531,159,5,143,225,6327,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
d161d1d47d445272cba35ed81eec068ed4be8b1a,3543,142,5,141,225,3324,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
d27c6b46b11c2ceaa61b35372ad8a3c98185aa18,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
d2e5486d5a0ddfa9c202e39f5af98257a230d4f3,4672,142,5,143,225,4451,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
d442227fa74e414f4c7ac6baea6c3c4a1d938219,6238,159,5,143,225,6034,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
d4b152bbf64591317d2d7ec9dfed0746e7bdb8e1,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
d7168577b859d15a15c2bcbc6c4f607a62be7478,3050,142,5,141,225,2831,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
d8978d405c32ee63375e09bf0b66b1e803da3d08,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
dc706d4fc307f0b51d8122f10dee6ad8e2653629,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
df688910e0499b0a874d220fe00ed7355a70fce0,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
e0c828b7f665d8c82e17787996634bc072e416ae,3050,142,5,141,225,2831,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
e50914e0f5b98ee4c9cb1f182ec2cd684fdf9900,6537,159,5,143,225,6333,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
e7595837a60b896eb0efed4b452b0bdd62e8039f,3043,142,5,141,225,2824,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
eb654aa1a8d2ef6433957fcc1361420b6141094e,6532,159,5,143,225,6328,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
ede9e9c3c3f9a9049fea2a6be0339b2c7434b8a1,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
ee4f527f47111c18ddef0c2369c1dede7447a4e9,3050,142,5,141,225,2831,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
f041f26a6ff636b764d2bf584ddbc9b9e4334d1b,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
f2234c5b96d4069d6881aacb7007ba3d305dfb0e,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
f44ca39fa23f07c857a34309d79db6394c5faefb,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
f7af7b282d6d3b36689cc192e6f78c065e32fb89,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
fc566a7ff9913be5fce2b961a6599f861e1ef59a,6533,159,5,143,225,6329,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
